text,label
DB 마이그레이션 스크립트 작성,GENERATION
고객 여정 분석,ANALYSIS
먼저 가볼게요,CASUAL
이따가,CASUAL
김대리가 올린 자료 찾아줘,SEARCH
출퇴근 시간 몇 시야,QUESTION
히스토리 찾아줘,SEARCH
더 자세히,CASUAL
코딩 테스트 문제 찾아줘,SEARCH
투자 제안서 초안 작성,GENERATION
좋아요,CASUAL
스프린트 번다운 분석,ANALYSIS
서비스 제안서 만들어줘,GENERATION
회사 와이파이 비번 뭐야,QUESTION
마케팅 전략 문서 찾아줘,SEARCH
이탈률 증가 원인이 뭐야,ANALYSIS
걍,CASUAL
코드 리뷰 소요시간 분석,ANALYSIS
알았어,CASUAL
프로젝트 기획안 작성,GENERATION
랜딩페이지 문구 만들어줘,GENERATION
두 기간의 실적 비교 분석해줘,ANALYSIS
eloun 연간 매출 알려줘,QUESTION
성장률 전망 분석,ANALYSIS
인프라 구성도 찾아줘,SEARCH
홍보 문구 만들어줘,GENERATION
번역해줘,GENERATION
CS 분석 자료 찾아,SEARCH
온보딩 문서 검색해줘,SEARCH
다음 분기 전망 분석,ANALYSIS
미들웨어 코드 만들어줘,GENERATION
이상치 분석해줘,ANALYSIS
업무 효율성 분석해줘,ANALYSIS
배포 가이드 찾아줘,SEARCH
엑셀로 만들어줘,GENERATION
비트코인 가격 알려줘,QUESTION
지난달 데이터 가져와서 추세 분석해줘,ANALYSIS
디자인팀 작업물 검색,SEARCH
상관관계 분석해줘,ANALYSIS
배포 가이드 만들어줘,GENERATION
데모 시나리오 작성해줘,GENERATION
유의수준 분석해줘,ANALYSIS
기술 보고서 작성,GENERATION
그 문서 어디 있어,SEARCH
입찰 제안서 만들어줘,GENERATION
ㅎㅎ,CASUAL
5 Forces 분석,ANALYSIS
제품 A와 B의 시장 점유율 비교,ANALYSIS
API 문서 찾아줘,SEARCH
RAG가 뭐야,QUESTION
월별 매출 데이터 찾아줘,SEARCH
의존성 리스크 분석,ANALYSIS
투자 리스크 평가해줘,ANALYSIS
LTV 분석해줘,ANALYSIS
영문 이메일 작성해줘,GENERATION
프로젝트 템플릿 만들어줘,GENERATION
개발 가이드 문서 조회,SEARCH
다음 릴리스 언제야,QUESTION
장애 났어?,QUESTION
이번 주 날씨 어때,QUESTION
오늘 코스피 어때,QUESTION
그래그래,CASUAL
월요병이야,CASUAL
주간 미팅 기록 찾아줘,SEARCH
잘 지냈어요?,CASUAL
개인정보처리방침 만들어줘,GENERATION
오늘 무슨 요일이야,QUESTION
